
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-06-02 15:30:14 /api/leads/analysis ................................................................ ~ 506.95ms
  2026-06-02 15:30:14 /api/campaigns/dashboard-stats ..................................................... ~ 507.18ms
  2026-06-02 15:30:14 /api/stages ........................................................................ ~ 506.23ms
  2026-06-02 15:30:14 /api/leads/stats ................................................................... ~ 508.33ms
  2026-06-02 15:30:15 /api/leads/analysis ................................................................ ~ 508.05ms
  2026-06-02 15:30:15 /api/leads/delayed ................................................................. ~ 506.40ms
  2026-06-02 15:30:15 /api/dashboard/top-users ........................................................... ~ 506.95ms
  2026-06-02 15:30:15 /api/dashboard-data/last-comments .................................................. ~ 506.70ms
  2026-06-02 15:30:16 /api/dashboard-data/recent-phone-calls ................................................... ~ 1s
  2026-06-02 15:30:16 /api/campaigns/dashboard-stats ..................................................... ~ 505.94ms
  2026-06-02 15:30:16 /api/leads/pipeline-analysis ....................................................... ~ 505.91ms
  2026-06-02 15:30:17 /api/stages .............................................................................. ~ 1s
  2026-06-02 15:30:17 /api/user .......................................................................... ~ 508.37ms
  2026-06-02 15:30:17 /api/dashboard-data/active-users ................................................... ~ 507.78ms
  2026-06-02 15:30:18 /api/users ......................................................................... ~ 506.31ms
  2026-06-02 15:30:18 /api/users ......................................................................... ~ 507.69ms
  2026-06-02 15:30:18 /api/stages .............................................................................. ~ 1s
  2026-06-02 15:30:19 /api/leads/stats ................................................................... ~ 509.06ms
  2026-06-02 15:30:19 /api/leads/analysis ................................................................ ~ 506.12ms
  2026-06-02 15:30:19 /api/campaigns/dashboard-stats ..................................................... ~ 506.39ms
  2026-06-02 15:30:20 /api/stages ........................................................................ ~ 504.92ms
  2026-06-02 15:30:20 /api/leads/stats ......................................................................... ~ 1s
  2026-06-02 15:30:20 /api/leads/analysis ................................................................ ~ 507.81ms
  2026-06-02 15:30:20 /api/dashboard-data/last-comments .................................................. ~ 506.05ms
  2026-06-02 15:30:21 /api/dashboard-data/recent-phone-calls ................................................... ~ 1s
  2026-06-02 15:30:21 /api/dashboard-data/last-comments .................................................. ~ 506.45ms
  2026-06-02 15:30:21 /api/dashboard-data/recent-phone-calls ............................................. ~ 507.12ms
  2026-06-02 15:30:22 /api/dashboard-data/last-comments .................................................. ~ 506.25ms
  2026-06-02 15:30:22 /api/dashboard-data/recent-phone-calls ............................................. ~ 505.60ms
  2026-06-02 15:30:22 /api/dashboard-data/last-comments ........................................................ ~ 1s
  2026-06-02 15:30:23 /api/dashboard-data/recent-phone-calls ............................................. ~ 507.13ms
  2026-06-02 15:30:23 /api/dashboard-data/last-comments .................................................. ~ 505.56ms
  2026-06-02 15:30:23 /api/dashboard-data/recent-phone-calls ............................................. ~ 505.85ms
  2026-06-02 15:30:24 /api/dashboard-data/last-comments .................................................. ~ 505.18ms
  2026-06-02 15:30:24 /api/dashboard-data/recent-phone-calls ................................................... ~ 1s
  2026-06-02 15:30:24 /api/dashboard-data/last-comments .................................................. ~ 505.86ms
  2026-06-02 15:30:25 /api/dashboard-data/recent-phone-calls ............................................. ~ 505.41ms
  2026-06-02 15:30:25 /api/dashboard-data/last-comments .................................................. ~ 504.77ms
  2026-06-02 15:30:25 /api/dashboard-data/recent-phone-calls ............................................. ~ 504.77ms
  2026-06-02 15:30:25 /api/dashboard-data/last-comments ........................................................ ~ 1s
  2026-06-02 15:30:26 /api/dashboard-data/recent-phone-calls ............................................. ~ 506.76ms
  2026-06-02 15:30:26 /api/dashboard-data/last-comments .................................................. ~ 506.30ms
  2026-06-02 15:30:26 /api/dashboard-data/recent-phone-calls ................................................... ~ 1s
  2026-06-02 15:30:27 /api/dashboard-data/last-comments .................................................. ~ 506.84ms
  2026-06-02 15:30:27 /api/dashboard-data/recent-phone-calls ............................................. ~ 505.49ms
  2026-06-02 15:30:27 /api/dashboard-data/last-comments .................................................. ~ 505.71ms
  2026-06-02 15:30:28 /api/dashboard-data/recent-phone-calls ............................................. ~ 505.38ms
  2026-06-02 15:30:28 /api/dashboard-data/last-comments ........................................................ ~ 1s
  2026-06-02 15:30:28 /api/dashboard-data/recent-phone-calls ............................................. ~ 506.83ms
  2026-06-02 15:30:29 /api/dashboard-data/last-comments .................................................. ~ 506.63ms
  2026-06-02 15:30:29 /api/dashboard-data/recent-phone-calls ............................................. ~ 506.49ms
  2026-06-02 15:30:29 /api/dashboard-data/last-comments .................................................. ~ 505.86ms
  2026-06-02 15:30:29 /api/dashboard-data/recent-phone-calls ................................................... ~ 1s
  2026-06-02 15:31:10 /api/leads/delayed ................................................................. ~ 502.69ms
  2026-06-02 15:31:57 /api/notifications ................................................................. ~ 501.60ms
  2026-06-02 15:32:11 /api/leads/delayed ................................................................. ~ 501.25ms
  2026-06-02 15:33:11 /api/leads/delayed ....................................................................... ~ 1s
  2026-06-02 15:33:57 /api/notifications ................................................................. ~ 501.85ms
  2026-06-02 15:34:11 /api/leads/delayed ................................................................... ~ 1.07ms
  2026-06-02 15:35:11 /api/leads/delayed ................................................................. ~ 501.10ms
  2026-06-02 15:35:57 /api/notifications ................................................................... ~ 0.95ms
  2026-06-02 15:36:11 /api/leads/delayed ................................................................... ~ 1.31ms
  2026-06-02 15:37:29 /api/leads/delayed ................................................................. ~ 502.27ms
  2026-06-02 15:37:57 /api/notifications ................................................................. ~ 502.62ms
